"","competition","trial","culture_conditions","Condition","Timepoint_hr","CFU_per_mL_total","mean_CFU_per_mL","log_mean_CFU_per_mL","sem_CFU_per_mL","log_sem_CFU_per_mL","fold_change","log_fold_change","mean_fold_change","mean_log_fold_change"
"63","Mouse_Pa_Kp","trial_4","co-culture","KPPR1_191.1","T24",1.8e+08,646800000,8.81077001123436,538719073.358276,8.73136235202194,90,1.95424250943932,165.950710108605,2.21997911510912
"64","Mouse_Pa_Kp","trial_4","co-culture","KPPR1_193.1","T24",1.8e+08,489200000,8.68948644836425,281369223.619073,8.44927659223385,81.8181818181818,1.9128498242811,321.931563534505,2.50776355884422
"65","Mouse_Pa_Kp","trial_5","control","Fresh_LB","T0",2200000,3360000,6.52633927738984,401995.024844836,5.60422067821928,NA,NA,NA,NA
"66","Mouse_Pa_Kp","trial_5","spent","Self_spent_LB","T0",5400000,4320000,6.63548374681491,440908.153700972,5.64434813029513,NA,NA,NA,NA
"67","Mouse_Pa_Kp","trial_5","spent","145.1_Spent_LB","T0",5e+06,3920000,6.59328606702046,300665.927567458,5.47808421523768,NA,NA,NA,NA
"68","Mouse_Pa_Kp","trial_5","spent","191.1_Spent_LB","T0",4800000,3760000,6.57518784492766,318747.549010185,5.50344685397395,NA,NA,NA,NA
"69","Mouse_Pa_Kp","trial_5","spent","193.1_Spent_LB","T0",4800000,3720000,6.5705429398819,520000,5.7160033436348,NA,NA,NA,NA
"70","Mouse_Pa_Kp","trial_5","co-culture","KPPR1_145.1","T0",3200000,4320000,6.63548374681491,458693.797647189,5.66152286774085,NA,NA,NA,NA
"71","Mouse_Pa_Kp","trial_5","co-culture","KPPR1_191.1","T0",2800000,3280000,6.51587384371168,392937.65408777,5.59432364799986,NA,NA,NA,NA
"72","Mouse_Pa_Kp","trial_5","co-culture","KPPR1_193.1","T0",3400000,3120000,6.49415459401844,733757.453113766,5.86555252560796,NA,NA,NA,NA
"73","Mouse_Pa_Kp","trial_5","control","Fresh_LB","T24",6.2e+10,3.82e+10,10.5820633629117,8968834929.91146,9.95273603096235,28181.8181818182,4.44996900867605,12904.7846889952,4.1107507629162
"74","Mouse_Pa_Kp","trial_5","spent","Self_spent_LB","T24",7e+08,8.76e+08,8.94250410616808,333490629.553515,8.52308363558278,129.62962962963,2.11270428019129,240.592592592593,2.38128225207413
"75","Mouse_Pa_Kp","trial_5","spent","145.1_Spent_LB","T24",2.4e+08,262800000,8.41962536088774,63496771.5714744,7.80275164459375,48,1.68124123737559,70.6055555555556,1.84883887459566
"76","Mouse_Pa_Kp","trial_5","spent","191.1_Spent_LB","T24",3.6e+07,10440000,7.01870049866624,6430365.46395304,6.80823565635622,7.5,0.8750612633917,2.48370927318296,0.395100758798527
"77","Mouse_Pa_Kp","trial_5","spent","193.1_Spent_LB","T24",5.8e+07,14960000,7.17493159352844,10785063.7457551,7.03282271636929,12.0833333333333,1.08218675618735,3.50628571428571,0.54484730225463
"78","Mouse_Pa_Kp","trial_5","co-culture","KPPR1_145.1","T24",6.2e+07,379600000,8.57932620375525,256953225.315426,8.40985407338488,19.375,1.28724171117835,79.7211538461538,1.9015735758462
"79","Mouse_Pa_Kp","trial_5","co-culture","KPPR1_191.1","T24",5.4e+07,646800000,8.81077001123436,538719073.358276,8.73136235202194,19.2857142857143,1.28523572848075,165.950710108605,2.21997911510912
"80","Mouse_Pa_Kp","trial_5","co-culture","KPPR1_193.1","T24",2.6e+08,489200000,8.68948644836425,281369223.619073,8.44927659223385,76.4705882352941,1.88349443092856,321.931563534505,2.50776355884422
"81","PA01_Kp","trial_1","control","KPPR1_fresh_LB","T0",4400000,3360000,6.52633927738984,263818.119165458,5.42130461980528,NA,NA,NA,NA
"82","PA01_Kp","trial_1","spent","KPPR1_self_spent","T0",3400000,3120000,6.49415459401844,205912.60281974,5.31368292829637,NA,NA,NA,NA
"83","PA01_Kp","trial_1","spent","KPPR1_spent_PA01","T0",3200000,3400000,6.53147891704226,296647.939483827,5.47224133607508,NA,NA,NA,NA
"84","PA01_Kp","trial_1","co-culture","KPPR1_PA01","T0",4200000,3560000,6.55144999797287,354400.902933387,5.54949481970059,NA,NA,NA,NA
"85","PA01_Kp","trial_1","control","KPPR1_fresh_LB","T24",1.4e+10,2.644e+10,10.4222614508136,6968041331.67994,9.84311071807126,3181.81818181818,3.50267535919205,8315.5303030303,3.9198899505292
