"","Strain","Sample","Day","Sex","CFU_per_g_total","LOD","Tissue","Group","Strain_ref","Day_cont","log_CFU_per_g","trial","mean_log_CFU_per_g","sem_log_CFU_per_g"
"17","JV4","feces_M62","D7","M",54644.8087431695,"No","feces","exp","JV4","7",4.73754891026957,"trial_1",6.16533852411958,0.340636577982722
"18","JV4","feces_M63","D7","M",1920768.30732293,"No","feces","exp","JV4","7",6.28347498124914,"trial_1",6.16533852411958,0.340636577982722
"19","JV4","feces_M64","D7","M",44817927.1708683,"No","feces","exp","JV4","7",7.65145176654373,"trial_1",6.16533852411958,0.340636577982722
"20","JV4","feces_M65","D7","M",74853801.1695907,"No","feces","exp","JV4","7",7.87421385925571,"trial_1",6.16533852411958,0.340636577982722
"21","JV1","feces_M61","D8","M",1291711517.76103,"No","feces","exp","JV1","8",9.11116553205398,"trial_1",7.78663485690898,0.420587615240352
"22","JV1","feces_M62","D8","M",2954755.30932595,"No","feces","exp","JV1","8",6.47052152169459,"trial_1",7.78663485690898,0.420587615240352
"23","JV1","feces_M63","D8","M",26382546930.4921,"No","feces","exp","JV1","8",10.4213167193554,"trial_1",7.78663485690898,0.420587615240352
"24","JV1","feces_M64","D8","M",574162.679425835,"No","feces","exp","JV1","8",5.75903495993657,"trial_1",7.78663485690898,0.420587615240352
"25","JV1","feces_M65","D8","M",377104377.104377,"No","feces","exp","JV1","8",8.57646157335297,"trial_1",7.78663485690898,0.420587615240352
"26","JV1","feces_M61","D9","M",402212166.91805,"No","feces","exp","JV1","9",8.60445520386751,"trial_1",7.85048573504853,0.26580127088292
"27","JV1","feces_M62","D9","M",3058103.97553517,"No","feces","exp","JV1","9",6.48545224733971,"trial_1",7.85048573504853,0.26580127088292
"28","JV1","feces_M63","D9","M",4102564.1025641,"No","feces","exp","JV1","9",6.61305537562943,"trial_1",7.85048573504853,0.26580127088292
"29","JV1","feces_M64","D9","M",793650793.650794,"No","feces","exp","JV1","9",8.89962945488244,"trial_1",7.85048573504853,0.26580127088292
