Loc_ID,Pa14 gene locus,PA01 gene locus,Gene name,Gene description,z-score trial 1,z-score trial 2
PAMr_nr_mas_04_2_E03,PA14_68620,PA5194,NA,conserved hypothetical protein,-0.6339926039395012,-0.5034372758817237
PAMr_nr_mas_04_2_E04,PA14_33230,PA2429,NA,hypothetical protein,-0.37961766155346643,0.24100268878118658
PAMr_nr_mas_04_2_E05,PA14_18670,PA3531,bfrB,bacterioferritin,0.8711821717031482,1.1069688151243795
PAMr_nr_mas_04_2_E06,PA14_64220,PA4855,purD,phosphoribosylamine--glycine ligase,-0.7973919842675002,0.3412575138667115
PAMr_nr_mas_04_2_E07,PA14_65110,PA4930,alr,biosynthetic alanine racemase,2.2054203504712815,0.29336055109950704
PAMr_nr_mas_04_2_E08,PA14_27430,PA2835,NA,putative multidrug efflux MFS transporter,1.3724421090695527,1.504166113598893
PAMr_nr_mas_04_2_E09,PA14_56750,PA4364,NA,conserved hypothetical protein,0.6503598293067497,0.997935932990897
PAMr_nr_mas_04_2_E10,PA14_56810,PA4369,NA,putative lemA-like protein,1.1758606951506123,1.2770293880285264
PAMr_nr_mas_04_2_E11,PA14_50460,PA1079,flgD,flagellar basal-body rod modification protein FlgD,0.47817219589152776,0.2402759766444512
PAMr_nr_mas_04_2_E12,PA14_29000,PA2719,NA,putative protease,0.20231645055200048,0.5713646373729376
PAMr_nr_mas_04_2_F01,PA14_07740,PA0593,pdxA,pyridoxal phosphate biosynthetic protein PdxA,-0.254651629869005,0.3731582669220442
PAMr_nr_mas_04_2_F03,PA14_20960,PA3332,NA,putativ isomerase,0.6350618617295235,-0.40243876021705594
PAMr_nr_mas_04_2_F04,PA14_65860,NA,NA,putative sensor histidine kinase/response regulator,0.3878681133687998,0.06255370044290233
PAMr_nr_mas_04_2_F05,PA14_53400,PA0840,NA,probable oxidoreductase,0.7441747551772385,0.02538684719291552
PAMr_nr_mas_04_2_F06,PA14_28400,PA2760,NA,"putative outer membrane porin, OprD family",0.5540404677481456,1.1398870169139703
PAMr_nr_mas_04_2_F07,PA14_31290,PA2570,pa1L,PA-I galactophilic lectin,0.8995920154006706,1.571847632265859
PAMr_nr_mas_04_2_F08,PA14_47370,PA1303,lepB,signal peptidase,-0.529374148182166,1.1745416625859648
PAMr_nr_mas_04_2_F09,PA14_73350,PA5563,soj,chromosome partitioning protein,-0.15752903521060307,1.024283099987114
PAMr_nr_mas_04_2_F10,PA14_31900,PA2526,NA,putative efflux transporter,-0.23396122584486675,0.8564537411187465
PAMr_nr_mas_04_2_F11,PA14_67920,PA5142,hisH1,lutamine amidotransferase class-I,0.005017344085673133,-0.29637420539406856
PAMr_nr_mas_04_2_F12,PA14_48090,PA1248,aprF,alkaline protease secretion outer membrane protein AprF precursor,-0.13494057244747898,0.016125498308852272
