"","strain","condition","OD","mean_absorb"
"228","JV44","Cinical isolate","OD695",0.007
"229","JV45","Cinical isolate","OD695",0.00766666666666667
"230","JV46","Cinical isolate","OD695",0.084
"231","JV47","Cinical isolate","OD695",0.007
"232","JV48","Cinical isolate","OD695",0.037
"233","JV49","Cinical isolate","OD695",0.0723333333333333
"234","JV50","Cinical isolate","OD695",0.00466666666666667
"235","JV51","Cinical isolate","OD695",0.0133333333333333
"236","JV52","Cinical isolate","OD695",0.0156666666666667
"237","JV53","Cinical isolate","OD695",0.0393333333333333
"238","JV54","Cinical isolate","OD695",0.006
"239","JV55","Cinical isolate","OD695",0.0613333333333333
"240","JV56","Cinical isolate","OD695",0.00666666666666667
"241","JV57","Cinical isolate","OD695",0.0323333333333333
"242","JV58","Cinical isolate","OD695",0.00366666666666667
"243","JV59","Cinical isolate","OD695",0.012
"244","JV60","Cinical isolate","OD695",0.0576666666666667
"245","JV61","Cinical isolate","OD695",0.0256666666666667
"246","JV62","Cinical isolate","OD695",0.0646666666666667
"247","JV63","Cinical isolate","OD695",0.0496666666666667
"248","JV64","Cinical isolate","OD695",0.002
"249","JV65","Cinical isolate","OD695",0.0263333333333333
"250","JV66","Cinical isolate","OD695",0.044
"251","JV67","Cinical isolate","OD695",0.041
"252","JV68","Cinical isolate","OD695",0.0586666666666667
"253","JV69","Cinical isolate","OD695",0.014
"254","JV70","Cinical isolate","OD695",0.00133333333333333
"255","JV71","Cinical isolate","OD695",0.1088
"256","JV73","Cinical isolate","OD695",0.0243333333333333
"257","JV193","Cinical isolate","OD695",0.0146666666666667
"258","JV194","Cinical isolate","OD695",0.027
"259","JV195","Cinical isolate","OD695",0.041
"260","JV196","Cinical isolate","OD695",0.00166666666666667
"261","JV197","Cinical isolate","OD695",0.00533333333333333
"262","JV198","Cinical isolate","OD695",0.007
"263","JV199","Cinical isolate","OD695",0.007
"264","JV200","Cinical isolate","OD695",0.011
"265","JV201","Cinical isolate","OD695",0.044
"266","JV202","Cinical isolate","OD695",0.006
"267","JV203","Cinical isolate","OD695",0.033
"268","JV204","Cinical isolate","OD695",0.023
"269","JV257","Cinical isolate","OD695",0.0353333333333333
"270","JV258","Cinical isolate","OD695",0.00566666666666667
"271","JV259","Cinical isolate","OD695",0.0146666666666667
"272","JV260","Cinical isolate","OD695",0.00433333333333333
"273","JV261","Cinical isolate","OD695",0.0506666666666667
"274","JV262","Cinical isolate","OD695",0.002
"275","JV263","Cinical isolate","OD695",0.00433333333333333
"276","JV264","Cinical isolate","OD695",0.044
"277","JV265","Cinical isolate","OD695",0.137666666666667
"278","JV266","Cinical isolate","OD695",0.0416666666666667
"279","JV267","Cinical isolate","OD695",0.00833333333333333
"280","JV268","Cinical isolate","OD695",0.110666666666667
"281","JV269","Cinical isolate","OD695",0.0156666666666667
"282","JV270","Cinical isolate","OD695",0.0103333333333333
