"","mouse","sex","vendor","inoculum","media","CFU_per_mL","fold_change","log_CI","trial","log_fold_change","log_CFU_per_mL","mean_log_fold_change","mean_log_CFU_per_mL","inoc_vendor"
"48","M1106","m","cr","JV1_JV450","Pa",2.8e+09,875,NA,"trial_2",2.94200805302231,9.44715803134222,2.9339453719048,9.34697934979423,"JV1_JV450_cr"
"49","M1107","m","jax","JV1_JV450","Pa",4.6e+09,2300,NA,"trial_2",3.36172783601759,9.66275783168157,2.9339453719048,9.34697934979423,"JV1_JV450_jax"
"50","M1108","m","jax","JV1_JV450","Pa",3.2e+10,6400,NA,"trial_2",3.80617997398389,10.5051499783199,2.9339453719048,9.34697934979423,"JV1_JV450_jax"
"51","M1104","m","cr","JV1_JV462","LB_rif",5e+09,1086.95652173913,-1.08872656395386,"trial_2",3.03621217265444,9.69897000433602,2.14544094725107,8.85818635877678,"JV1_JV462_cr"
"52","M1105","m","cr","JV1_JV462","LB_rif",4.2e+08,80.7692307692308,-1.11623514908642,"trial_2",1.9072459467631,8.6232492903979,2.14544094725107,8.85818635877678,"JV1_JV462_cr"
"53","M1106","m","cr","JV1_JV462","LB_rif",3e+08,71.4285714285714,-1.03415427623431,"trial_2",1.85387196432176,8.47712125471966,2.14544094725107,8.85818635877678,"JV1_JV462_cr"
"54","M1107","m","jax","JV1_JV462","LB_rif",2e+09,625,-1.29429661300501,"trial_2",2.79588001734408,9.30102999566398,2.14544094725107,8.85818635877678,"JV1_JV462_jax"
"55","M1108","m","jax","JV1_JV462","LB_rif",4.8e+08,85.7142857142857,-1.30582887854575,"trial_2",1.93305321036939,8.68124123737559,2.14544094725107,8.85818635877678,"JV1_JV462_jax"
"56","M1104","m","cr","JV1_JV462","Pa",4.8e+10,13333.3333333333,NA,"trial_2",4.1249387366083,10.6812412373756,2.56652409199144,9.14622964529792,"JV1_JV462_cr"
"57","M1105","m","cr","JV1_JV462","Pa",3.8e+09,1055.55555555556,NA,"trial_2",3.02348109584952,9.57978359661681,2.56652409199144,9.14622964529792,"JV1_JV462_cr"
"58","M1106","m","cr","JV1_JV462","Pa",3.4e+09,772.727272727273,NA,"trial_2",2.88802624055607,9.53147891704226,2.56652409199144,9.14622964529792,"JV1_JV462_cr"
"59","M1107","m","jax","JV1_JV462","Pa",3.2e+10,12307.6923076923,NA,"trial_2",4.09017663034909,10.5051499783199,2.56652409199144,9.14622964529792,"JV1_JV462_jax"
"60","M1108","m","jax","JV1_JV462","Pa",5.2e+09,1733.33333333333,NA,"trial_2",3.23888208891514,9.7160033436348,2.56652409199144,9.14622964529792,"JV1_JV462_jax"
