"","mouse","sex","vendor","inoculum","media","CFU_per_mL","fold_change","log_CI","trial","log_fold_change","log_CFU_per_mL","mean_log_fold_change","mean_log_CFU_per_mL","inoc_vendor"
"16","M1099","m","cr","JV1_JV450","Pa",5.6e+09,1866.66666666667,NA,"trial_1",3.27106677228654,9.7481880270062,5551.15622301514,9.47815081120972,"JV1_JV450_cr"
"17","M1100","m","cr","JV1_JV450","Pa",4e+09,1250,NA,"trial_1",3.09691001300806,9.60205999132796,5551.15622301514,9.47815081120972,"JV1_JV450_cr"
"18","M1101","m","cr","JV1_JV450","Pa",5.8e+09,1611.11111111111,NA,"trial_1",3.20712549279565,9.76342799356294,5551.15622301514,9.47815081120972,"JV1_JV450_cr"
"19","M1102","m","cr","JV1_JV450","Pa",1.6e+09,615.384615384615,NA,"trial_1",2.78914663468511,9.20411998265593,5551.15622301514,9.47815081120972,"JV1_JV450_cr"
"20","M1103","m","cr","JV1_JV450","Pa",2.2e+09,687.5,NA,"trial_1",2.8372727025023,9.34242268082221,5551.15622301514,9.47815081120972,"JV1_JV450_cr"
"21","M1094","m","jax","JV1_JV462","LB_rif",3.8e+08,73.0769230769231,-1.26115848362629,"trial_1",1.86378025298201,8.57978359661681,99.2281294248266,8.37079169838672,"JV1_JV462_jax"
"22","M1095","m","jax","JV1_JV462","LB_rif",5.6e+08,71.7948717948718,-1.02580726360629,"trial_1",1.85609342431572,8.7481880270062,99.2281294248266,8.37079169838672,"JV1_JV462_jax"
"23","M1096","m","jax","JV1_JV462","LB_rif",1.8e+08,30,1.56729788506875,"trial_1",1.47712125471966,8.25527250510331,99.2281294248266,8.37079169838672,"JV1_JV462_jax"
"24","M1097","m","jax","JV1_JV462","LB_rif",4.4e+08,68.75,1.87203480876151,"trial_1",1.8372727025023,8.64345267648619,99.2281294248266,8.37079169838672,"JV1_JV462_jax"
"25","M1098","m","jax","JV1_JV462","LB_rif",2.6e+08,72.2222222222222,-1.11784805694695,"trial_1",1.85867084720353,8.41497334797082,99.2281294248266,8.37079169838672,"JV1_JV462_jax"
"26","M1099","m","cr","JV1_JV462","LB_rif",5.8e+07,6.44444444444444,-2.0843591849621,"trial_1",0.809185484123612,7.76342799356294,99.2281294248266,8.37079169838672,"JV1_JV462_cr"
"27","M1100","m","cr","JV1_JV462","LB_rif",2e+08,40,-2.46160908854141,"trial_1",1.60205999132796,8.30102999566398,99.2281294248266,8.37079169838672,"JV1_JV462_cr"
"28","M1101","m","cr","JV1_JV462","LB_rif",4e+08,111.111111111111,-1.03342375548695,"trial_1",2.04575749056068,8.60205999132796,99.2281294248266,8.37079169838672,"JV1_JV462_cr"
"29","M1102","m","cr","JV1_JV462","LB_rif",3e+07,6.52173913043478,-2.02290927946421,"trial_1",0.814363423038088,7.47712125471966,99.2281294248266,8.37079169838672,"JV1_JV462_cr"
"30","M1103","m","cr","JV1_JV462","LB_rif",4.8e+07,8.27586206896552,-2.08218675618735,"trial_1",0.91781324381265,7.68124123737559,99.2281294248266,8.37079169838672,"JV1_JV462_cr"
"31","M1094","m","jax","JV1_JV462","Pa",4e+09,1333.33333333333,NA,"trial_1",3.1249387366083,9.60205999132796,15418.239333211,9.30168557261028,"JV1_JV462_jax"
"32","M1095","m","jax","JV1_JV462","Pa",3.2e+09,761.904761904762,NA,"trial_1",2.88190068792201,9.50514997831991,15418.239333211,9.30168557261028,"JV1_JV462_jax"
"33","M1096","m","jax","JV1_JV462","Pa",2600000,0.8125,NA,"trial_1",-0.090176630349088,6.41497334797082,15418.239333211,9.30168557261028,"JV1_JV462_jax"
"34","M1097","m","jax","JV1_JV462","Pa",2400000,0.923076923076923,NA,"trial_1",-0.0347621062592119,6.38021124171161,15418.239333211,9.30168557261028,"JV1_JV462_jax"
"35","M1098","m","jax","JV1_JV462","Pa",3.6e+09,947.368421052632,NA,"trial_1",2.97651890415048,9.55630250076729,15418.239333211,9.30168557261028,"JV1_JV462_jax"
"36","M1099","m","cr","JV1_JV462","Pa",3.6e+09,782.608695652174,NA,"trial_1",2.89354466908571,9.55630250076729,15418.239333211,9.30168557261028,"JV1_JV462_cr"
"37","M1100","m","cr","JV1_JV462","Pa",4.4e+10,11578.9473684211,NA,"trial_1",4.06366907986938,10.6434526764862,15418.239333211,9.30168557261028,"JV1_JV462_cr"
"38","M1101","m","cr","JV1_JV462","Pa",3.6e+09,1200,NA,"trial_1",3.07918124604763,9.55630250076729,15418.239333211,9.30168557261028,"JV1_JV462_cr"
